PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,Recall_HR,Precision_HR,FPR_HR,model,scenario,split,PR_AUC_std,FNR_std,model_code,model_name,tier,complexity_score,validation_protocol,step,Latency_ms,CompositeScore,best_PR_AUC,best_ROC_AUC,best_Precision,best_Recall,best_F1,best_Specificity,best_Balanced_Acc,best_CompositeScore,best_FNR,best_Brier,best_ECE,best_Latency_ms
0.9998756067591568,0.9999847685401119,0.9976452119309263,0.99296875,0.995301487862177,0.9997201492537313,0.9963444496268656,0.0029822582447863242,0.00960180582264337,0.00703125,33.0,0.725735840000296,0.972,0.589,10717,3,9,1271,10720,0,64,1216,0.95,1.0,0.0,A1,step3_noise,stratified,4.0052793497280526e-05,0.0015625,A1,Logistic + interactions,Tier A,1.0,V1_stratified,step3_noise,1.829631250075181,0.9948561310323518,0,0,0,0,0,0,0,0,0,0,0,0
0.9992541435325665,0.9999390377215485,0.9726443768996961,1.0,0.9861325115562404,0.9966417910447761,0.9983208955223881,0.002406019507695277,0.00218218123299912,0.0,36.0,0.8410041841004183,0.986,0.001,10684,36,0,1280,10719,1,60,1220,0.953125,0.9991809991809992,9.328358208955224e-05,A2,step3_noise,stratified,0.000789081357358834,0.0,A2,Shallow Decision Tree,Tier A,1.6,V1_stratified,step3_noise,1.8109812499460531,0.9984119224249985,0,0,0,1,0,0,0,0,1,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004884693655942847,0.0035154348031382608,0.0,0.0,0.590743543387877,0.932,0.41100000000000003,10720,0,0,1280,10720,0,64,1216,0.95,1.0,0.0,B1,step3_noise,stratified,0.0,0.0,B1,Random Forest (tuned),Tier B,3.0,V1_stratified,step3_noise,7.102408750142786,0.9992772970332915,1,1,1,1,1,1,1,0,1,0,0,0
0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,3.042362700630811e-08,1.783753349996265e-05,0.0,0.0,0.9925090384241911,0.999,0.003,10720,0,0,1280,10720,0,16,1264,0.9875,1.0,0.0,B2,step3_noise,stratified,0.0,0.0,B2,Gradient Boosting,Tier B,3.4,V1_stratified,step3_noise,9.32492124993587,0.9999973122005241,0,1,1,1,1,1,1,1,1,1,1,0
0.9986041666666666,0.9992183127332089,1.0,0.9984375,0.9992181391712275,1.0,0.99921875,0.00016813828073429163,0.0001712770753414279,0.0015625,20.0,0.9901392888693481,1.0,0.122,10720,0,2,1278,10720,0,5,1275,0.99609375,1.0,0.0,B3,step3_noise,stratified,0.001395833333333374,0.0015625,B3,Calibrated B2 (isotonic),Tier B,3.8,V1_stratified,step3_noise,22.6950525000575,0.9988018447930718,0,0,1,0,0,1,0,0,0,0,0,0
0.16154011570063564,0.5093299979594217,0.10684474123539232,1.0,0.19306184012066366,0.0018656716417910447,0.5009328358208955,0.09402622418081027,0.03284752717336363,0.0,10711.0,0.006801074989879958,0.043000000000000003,0.007,20,10700,0,1280,412,10308,60,1220,0.953125,0.10582928521859819,0.9615671641791045,C1,step3_noise,stratified,0.0009170285483888763,0.0,C1,Monotonic-constrained GBM,Tier C,4.4,V1_stratified,step3_noise,8.397401250113035,0.6220784275319257,0,0,0,1,0,0,0,0,1,0,0,0
0.9947453356179825,0.9993223093516791,0.9860997547015535,0.9421875,0.9636436276468238,0.9984141791044776,0.9703008395522388,0.036833618129708694,0.09171173257453112,0.0578125,226.0,0.8086503747816337,0.777,0.659,10703,17,74,1206,10677,43,64,1216,0.95,0.965845909451946,0.004011194029850746,C2,step3_noise,stratified,0.0012904990668881067,0.017968750000000002,C2,Physics-regularized logistic,Tier C,2.6,V1_stratified,step3_noise,0.9173012502287747,0.9491735521091299,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.7519659268041266e-05,0.00026926062135278363,0.0,0.0,0.7403846153846153,0.999,0.138,10720,0,0,1280,10720,0,19,1261,0.98515625,1.0,0.0,C3,step3_noise,stratified,0.0,0.0,C3,Two-stage hybrid,Tier C,5.0,V1_stratified,step3_noise,7.755825000276673,0.9999446030430899,1,1,1,1,1,1,1,0,1,0,0,0
0.9999695999174512,0.9999962832322762,0.9984387197501952,0.99921875,0.9988285825849278,0.9998134328358209,0.9995160914179104,0.0028242872478820022,0.010050346430290012,0.00078125,12.0,0.7288538231543464,0.974,0.713,10718,2,1,1279,10720,0,64,1216,0.95,1.0,0.0,A1,step3_noise,grouped,3.07415712437753e-05,0.0007776049766718507,A1,Logistic + interactions,Tier A,1.0,V2_grouped,step3_noise,1.829631250075181,0.9970771356032841,0,0,0,0,0,0,0,0,0,0,0,0
0.9996157816400999,0.9999722699976679,0.9944881889763779,0.98671875,0.9905882352941177,0.9993470149253731,0.9930328824626866,0.001958642985891539,0.001918731547966992,0.01328125,32.0,0.9340506056472375,1.0,0.001,10713,7,17,1263,10720,0,31,1249,0.97578125,1.0,0.0,A2,step3_noise,grouped,0.00037528793359814516,0.013219284603421462,A2,Shallow Decision Tree,Tier A,1.6,V2_grouped,step3_noise,1.8109812499460531,0.9941266082294883,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000315762967523051,0.0030949243382245766,0.0,0.0,0.6782461279825617,0.9400000000000001,0.402,10720,0,0,1280,10720,0,63,1217,0.95078125,1.0,0.0,B1,step3_noise,grouped,0.0,0.0,B1,Random Forest (tuned),Tier B,3.0,V2_grouped,step3_noise,7.102408750142786,0.9994094561622571,1,1,1,1,1,1,1,0,1,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.734820348306298e-10,9.518174230111217e-06,0.0,0.0,0.9996664577618043,0.999,0.001,10720,0,0,1280,10720,0,0,1280,1.0,1.0,0.0,B2,step3_noise,grouped,0.0,0.0,B2,Gradient Boosting,Tier B,3.4,V2_grouped,step3_noise,9.32492124993587,0.9999985721644726,1,1,1,1,1,1,1,1,1,1,1,0
0.9986041666666666,0.9992184584888061,1.0,0.9984375,0.9992181391712275,1.0,0.99921875,0.00016724980571968459,0.00015570237505187673,0.0015625,20.0,0.9998009719166163,1.0,0.075,10720,0,2,1278,10720,0,3,1277,0.99765625,1.0,0.0,B3,step3_noise,grouped,7.32437968609112e-06,7.324379686077134e-06,B3,Calibrated B2 (isotonic),Tier B,3.8,V2_grouped,step3_noise,22.6950525000575,0.9988045363881211,0,0,1,0,0,1,0,0,0,0,0,0
0.1651643118784683,0.5178640610424441,0.10669892383415366,0.99921875,0.19280922589884678,0.001119402985074627,0.5001690764925374,0.09403992772456805,0.031099822449739543,0.00078125,10718.0,0.01361137954990335,0.04,0.013000000000000001,12,10708,1,1279,381,10339,59,1221,0.95390625,0.10562283737024221,0.9644589552238806,C1,step3_noise,grouped,0.002723205115800015,0.0007849293563579278,C1,Monotonic-constrained GBM,Tier C,4.4,V2_grouped,step3_noise,8.397401250113035,0.6235113427940993,0,0,0,0,0,0,0,0,0,0,0,0
0.9955020713591607,0.9994319175606343,0.981346309813463,0.9453125,0.962992439315559,0.9978544776119403,0.9715834888059702,0.03689749277945032,0.09164558617523964,0.0546875,185.0,0.8000167804973648,0.783,0.667,10697,23,70,1210,10686,34,64,1216,0.95,0.9728,0.003171641791044776,C2,step3_noise,grouped,0.0014057595445836069,0.017451555332026338,C2,Physics-regularized logistic,Tier C,2.6,V2_grouped,step3_noise,0.9173012502287747,0.9505543685055983,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2115698317291506e-05,0.00012434154831481318,0.0,0.0,0.7413793103448275,0.999,0.138,10720,0,0,1280,10720,0,12,1268,0.990625,1.0,0.0,C3,step3_noise,grouped,0.0,0.0,C3,Two-stage hybrid,Tier C,5.0,V2_grouped,step3_noise,7.755825000276673,0.9999765024884257,1,1,1,1,1,1,1,0,1,0,0,0
0.31925598624240525,0.7831509444962687,0.5090782122905028,0.56953125,0.5376106194690264,0.9344216417910448,0.7519764458955225,0.11190878877890077,0.11431269660692274,0.43046875,5783.0,0.0025721312271479667,0.0,0.002,10017,703,551,729,0,10720,0,1280,1.0,0.10666666666666667,1.0,A1,step3_noise,leave-level-out,0.35568008677809576,0.19597286804359745,A1,Logistic + interactions,Tier A,1.0,V3_leave_Sgn,step3_noise,1.829631250075181,0.5151279119943634,1,1,1,0,1,1,1,0,0,0,0,0
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666666666666667,0.10666666666666667,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,A2,step3_noise,leave-level-out,0.14163242538250234,0.0,A2,Shallow Decision Tree,Tier A,1.6,V3_leave_Sgn,step3_noise,1.8109812499460531,0.584,0,0,0,1,0,0,0,0,1,0,0,0
0.10636404741626389,0.49814369315531715,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10665242730558354,0.10646303560594013,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B1,step3_noise,leave-level-out,0.12606801332522272,0.30743773095067284,B1,Random Forest (tuned),Tier B,3.0,V3_leave_Sgn,step3_noise,7.102408750142786,0.5839151927033811,0,0,0,1,0,0,0,0,1,1,0,0
0.10316790629427243,0.145463575676306,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666653408612073,0.10666155573233653,0.0,10720.0,3.546231421259651e-07,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B2,step3_noise,leave-level-out,0.12686622519070695,0.0,B2,Gradient Boosting,Tier B,3.4,V3_leave_Sgn,step3_noise,9.32492124993587,0.5826013155234102,0,0,0,1,0,0,0,0,1,0,0,0
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666666666666667,0.10666666666666667,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B3,step3_noise,leave-level-out,0.14163242538250234,0.0,B3,Calibrated B2 (isotonic),Tier B,3.8,V3_leave_Sgn,step3_noise,22.6950525000575,0.584,0,0,0,1,0,0,0,0,1,0,0,0
0.09751575538788118,0.15199309847248138,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.12320502902212185,0.19641056005675486,0.0,10720.0,4.4710884008101596e-07,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,C1,step3_noise,leave-level-out,0.13409039601103767,0.3279335796807177,C1,Monotonic-constrained GBM,Tier C,4.4,V3_leave_Sgn,step3_noise,8.397401250113035,0.5602627065377905,0,0,0,1,0,0,0,0,1,0,0,0
