t,PR_AUC,Recall,FNR
9926,0.9779142275910643,0.9910714285714286,0.008928571428571428
9927,0.9779142275910643,0.9910714285714286,0.008928571428571428
9928,0.9779142275910643,0.9910714285714286,0.008928571428571428
9929,0.9779142275910643,0.9910714285714286,0.008928571428571428
9930,0.9779142275910643,0.9910714285714286,0.008928571428571428
9931,0.9779142275910643,0.9910714285714286,0.008928571428571428
9932,0.9779142275910643,0.9910714285714286,0.008928571428571428
9933,0.9779142275910643,0.9910714285714286,0.008928571428571428
9934,0.9779142275910643,0.9910714285714286,0.008928571428571428
9935,0.9779142275910643,0.9910714285714286,0.008928571428571428
9936,0.9779142275910643,0.9910714285714286,0.008928571428571428
9937,0.9779142275910643,0.9910714285714286,0.008928571428571428
9938,0.9779142275910643,0.9910714285714286,0.008928571428571428
9939,0.9779142275910643,0.9910714285714286,0.008928571428571428
9940,0.9779142275910643,0.9910714285714286,0.008928571428571428
9941,0.9779142275910643,0.9910714285714286,0.008928571428571428
9942,0.9779142275910643,0.9910714285714286,0.008928571428571428
9943,0.9779142275910643,0.9910714285714286,0.008928571428571428
9944,0.9779142275910643,0.9910714285714286,0.008928571428571428
9945,0.9779142275910643,0.9910714285714286,0.008928571428571428
9946,0.9779142275910643,0.9910714285714286,0.008928571428571428
9947,0.9779142275910643,0.9910714285714286,0.008928571428571428
9948,0.9779142275910643,0.9910714285714286,0.008928571428571428
9949,0.9779142275910643,0.9910714285714286,0.008928571428571428
9950,0.9779142275910643,0.9910714285714286,0.008928571428571428
9951,0.9779142275910643,0.9910714285714286,0.008928571428571428
9952,0.9779142275910643,0.9910714285714286,0.008928571428571428
9953,0.9779142275910643,0.9910714285714286,0.008928571428571428
9954,0.9779142275910643,0.9910714285714286,0.008928571428571428
9955,0.9779142275910643,0.9910714285714286,0.008928571428571428
9956,0.9779142275910643,0.9910714285714286,0.008928571428571428
9957,0.9779142275910643,0.9910714285714286,0.008928571428571428
9958,0.9779142275910643,0.9910714285714286,0.008928571428571428
9959,0.9779142275910643,0.9910714285714286,0.008928571428571428
9960,0.9779142275910643,0.9910714285714286,0.008928571428571428
9961,0.9779142275910643,0.9910714285714286,0.008928571428571428
9962,0.9779156783363165,0.9910714285714286,0.008928571428571428
9963,0.9779156783363165,0.9910714285714286,0.008928571428571428
9964,0.9779156783363165,0.9910714285714286,0.008928571428571428
9965,0.9779156783363165,0.9910714285714286,0.008928571428571428
9966,0.9779156783363165,0.9910714285714286,0.008928571428571428
9967,0.9779156783363165,0.9910714285714286,0.008928571428571428
9968,0.9779156783363165,0.9910714285714286,0.008928571428571428
9969,0.9779156783363165,0.9910714285714286,0.008928571428571428
9970,0.9779156783363165,0.9910714285714286,0.008928571428571428
9971,0.9779156783363165,0.9910714285714286,0.008928571428571428
9972,0.9779156783363165,0.9910714285714286,0.008928571428571428
9973,0.9779156783363165,0.9910714285714286,0.008928571428571428
9974,0.9779156783363165,0.9910714285714286,0.008928571428571428
