t,PH_alarm,DDM_alarm,ADWIN_alarm,error,prob
16062,0,0,0,0.0,1e-06
16063,0,0,0,0.0,1e-06
16064,0,0,0,0.0,1e-06
16065,0,0,0,0.0,1e-06
16066,0,0,0,0.0,1e-06
16067,0,0,0,0.0,1e-06
16068,0,0,0,0.0,1e-06
16069,0,0,0,0.0,1e-06
16070,0,0,0,0.0,1e-06
16071,0,0,0,0.0,1e-06
16072,0,0,0,0.0,1e-06
16073,0,0,0,0.0,1e-06
16074,0,0,0,0.0,1e-06
16075,0,0,0,0.0,1e-06
16076,0,0,0,0.0,1e-06
16077,0,0,0,0.0,1e-06
16078,0,0,0,0.0,1e-06
16079,0,0,0,0.0,1e-06
16080,0,0,0,0.0,1e-06
16081,0,0,0,0.0,1e-06
16082,0,0,0,0.0,1e-06
16083,0,0,0,0.0,1e-06
16084,0,0,0,0.0,1e-06
16085,0,0,0,0.0,1e-06
16086,0,0,0,0.0,1e-06
16087,0,0,0,0.0,1e-06
16088,0,0,0,0.0,1e-06
16089,0,0,0,0.0,1e-06
16090,0,0,0,0.0,1e-06
16091,0,0,0,0.0,1e-06
16092,0,0,0,0.0,1e-06
16093,0,0,0,0.0,1e-06
16094,0,0,0,0.0,1e-06
16095,0,0,0,0.0,1e-06
16096,0,0,0,0.0,1e-06
16097,0,0,0,0.0,1e-06
16098,0,0,0,0.0,1e-06
16099,0,0,0,0.0,1e-06
16100,0,0,0,0.0,1e-06
16101,0,0,0,0.0,1e-06
16102,0,0,0,0.0,1e-06
16103,0,0,0,0.0,1e-06
16104,0,0,0,0.0,1e-06
16105,0,0,0,0.0,1e-06
16106,0,0,0,0.0,1e-06
16107,0,0,0,0.0,1e-06
16108,0,0,0,0.0,1e-06
16109,0,0,0,0.0,1e-06
16110,0,0,0,0.0,1e-06
16111,0,0,0,0.0,1e-06
16112,0,0,0,0.0,1e-06
16113,0,0,0,0.0,1e-06
16114,0,0,0,0.0,1e-06
16115,0,0,0,0.0,1e-06
16116,0,0,0,0.0,1e-06
16117,0,0,0,0.0,1e-06
16118,0,0,0,0.0,1e-06
16119,0,0,0,0.0,1e-06
16120,0,0,0,0.0,1e-06
16121,0,0,0,0.0,1e-06
16122,0,0,0,0.0,1e-06
16123,0,0,0,0.0,1e-06
16124,0,0,0,0.0,1e-06
16125,0,0,0,0.0,1e-06
16126,0,0,0,0.0,1e-06
16127,0,0,0,0.0,1e-06
16128,0,0,0,0.0,1e-06
16129,0,0,0,0.0,1e-06
16130,0,0,0,0.0,1e-06
