Tag rete,Ikssmin [kA],Sgn_eff [MVA],H [s],Generatore,Out_of_step,_VRT,min_diff,Output
100,3,3.09999990463257,0.7,GR1,0,1,-0.00342632210151372,OK
100,3,3.09999990463257,0.8,GR1,0,1,-0.00341758592572849,OK
100,3,3.09999990463257,0.9,GR1,0,1,-0.00340465555242608,OK
100,3,3.09999990463257,1,GR1,0,1,-0.00340744137006488,OK
100,3,3.09999990463257,1.1,GR1,0,1,-0.00342842783371455,OK
100,3,3.09999990463257,1.2,GR1,0,1,-0.00344007324118811,OK
100,3,3.09999990463257,1.3,GR1,0,1,-0.00342511848681148,OK
100,3,3.09999990463257,1.4,GR1,0,1,-0.00337851741718032,OK
100,3,3.09999990463257,1.5,GR1,0,1,-0.00331447861506884,OK
100,3,3.09999990463257,1.6,GR1,0,1,-0.00324414179198129,OK
100,3,3.09999990463257,1.7,GR1,0,1,-0.00317739749352086,OK
100,3,3.09999990463257,1.8,GR1,0,1,-0.00312237552888417,OK
100,3,3.09999990463257,1.9,GR1,0,1,-0.00308495030918443,OK
100,3,3.09999990463257,2,GR1,0,1,-0.00306890874875743,OK
100,3,3.09999990463257,2.1,GR1,0,1,-0.00307622589769907,OK
100,3,3.09999990463257,2.2,GR1,0,1,-0.00310513209133489,OK
100,3,3.09999990463257,2.3,GR1,0,1,-0.00313686849690831,OK
100,3,3.09999990463257,2.4,GR1,0,1,-0.00318616466882893,OK
100,3,3.09999990463257,2.5,GR1,0,1,-0.00324452194482061,OK
100,3,3.09999990463257,2.6,GR1,0,1,-0.00330711522084459,OK
100,3,3.09999990463257,2.7,GR1,0,1,-0.00337066666032981,OK
100,3,3.09999990463257,2.8,GR1,0,1,-0.00343304730534255,OK
100,3,3.09999990463257,2.9,GR1,0,1,-0.00349127442646546,OK
100,3,3.09999990463257,3,GR1,0,1,-0.00354348180377395,OK
100,3,3.09999990463257,3.1,GR1,0,1,-0.00358905341063809,OK
100,3,3.09999990463257,3.2,GR1,0,1,-0.00362762752846579,OK
100,3,3.09999990463257,3.3,GR1,0,1,-0.00365915176318321,OK
100,3,3.09999990463257,3.4,GR1,0,1,-0.00368465447509791,OK
100,3,3.09999990463257,3.5,GR1,0,1,-0.00370244004254594,OK
100,3,3.09999990463257,3.6,GR1,0,1,-0.00371408786097305,OK
100,3,3.09999990463257,3.7,GR1,0,1,-0.00371983569107948,OK
100,3,3.09999990463257,3.8,GR1,0,1,-0.00372052746877005,OK
100,3,3.09999990463257,3.9,GR1,0,1,-0.0037160599555226,OK
100,3,3.09999990463257,4,GR1,0,1,-0.00370731286484294,OK
100,3,3.09999990463257,4.1,GR1,0,1,-0.00369497899348392,OK
100,3,3.09999990463257,4.2,GR1,0,1,-0.00367958932101231,OK
100,3,3.09999990463257,4.3,GR1,0,1,-0.00366153662240976,OK
100,3,3.09999990463257,4.4,GR1,0,1,-0.00364138985001061,OK
100,3,3.09999990463257,4.5,GR1,0,1,-0.0036195400873652,OK
100,3,3.09999990463257,4.6,GR1,0,1,-0.00359637029825333,OK
100,3,3.09999990463257,4.7,GR1,0,1,-0.00357225697787555,OK
100,3,3.09999990463257,4.8,GR1,0,1,-0.00354764446694555,OK
100,3,3.09999990463257,4.9,GR1,0,1,-0.00352265690977205,OK
100,3,3.09999990463257,5,GR1,0,1,-0.00349765782152356,OK
100,3,3.59999990463257,0.1,GR1,0,1,-0.00171144265898071,OK
100,3,3.59999990463257,0.2,GR1,0,1,-0.00247613103151545,OK
100,3,3.59999990463257,0.3,GR1,0,1,-0.00320850663015904,OK
100,3,3.59999990463257,0.4,GR1,0,1,-0.00352445886750208,OK
100,3,3.59999990463257,0.5,GR1,0,1,-0.00398238051554067,OK
100,3,3.59999990463257,0.6,GR1,0,1,-0.00423182545763923,OK
100,3,3.59999990463257,0.7,GR1,0,1,-0.00435533581078718,OK
100,3,3.59999990463257,0.8,GR1,0,1,-0.00439490560227074,OK
100,3,3.59999990463257,0.9,GR1,0,1,-0.00440623135836904,OK
100,3,3.59999990463257,1,GR1,0,1,-0.00443404474665343,OK
100,3,3.59999990463257,1.1,GR1,0,1,-0.00440092054064944,OK
100,3,3.59999990463257,1.2,GR1,0,1,-0.00434194408244071,OK
100,3,3.59999990463257,1.3,GR1,0,1,-0.00424806957852586,OK
100,3,3.59999990463257,1.4,GR1,0,1,-0.00413557357965055,OK
100,3,3.59999990463257,1.5,GR1,0,1,-0.00402422809937075,OK
100,3,3.59999990463257,1.6,GR1,0,1,-0.00392555274500439,OK
100,3,3.59999990463257,1.7,GR1,0,1,-0.00385340977490112,OK
100,3,3.59999990463257,1.8,GR1,0,1,-0.00381573627399268,OK
100,3,3.59999990463257,1.9,GR1,0,1,-0.00381607789051264,OK
100,3,3.59999990463257,2,GR1,0,1,-0.00384821485900289,OK
100,3,3.59999990463257,2.1,GR1,0,1,-0.0039098324512874,OK
100,3,3.59999990463257,2.2,GR1,0,1,-0.00399363974913702,OK
100,3,3.59999990463257,2.3,GR1,0,1,-0.00408950219515891,OK
100,3,3.59999990463257,2.4,GR1,0,1,-0.00418926098167471,OK
100,3,3.59999990463257,2.5,GR1,0,1,-0.00428664708173221,OK
100,3,3.59999990463257,2.6,GR1,0,1,-0.00437710475662767,OK
100,3,3.59999990463257,2.7,GR1,0,1,-0.00445813706763643,OK
100,3,3.59999990463257,2.8,GR1,0,1,-0.00452798061141368,OK
